StimulationType,Concenttration,IFNG,IL4,Tbet,GATA3,G_T
WT,0.01,0.3565,10.28,419,1660,4
WT,0.1,0.9321,4.63,705,591,0.8
WT,1,5.162,2.43,1079,470,0.4
WT,10,11.309,1.69,1368,359,0.3
WT,0.01,0.3685,10.45,421,1612,3.8
WT,0.1,1.0525,2.79,804,606,0.8
WT,1,4.5288,2.25,1266,517,0.4
WT,10,11.404,1.46,1362,382,0.3
WT,0.01,0.3431,8.85,406,1561,3.8
WT,0.1,0.7356,3.75,801,609,0.8
WT,1,3.836,1.124,1292,466,0.4
WT,10,11.45,1.11,1219,358,0.3
WT+IL-4,0.01,0.1,47.97,309,1634,5.3
WT+IL-4,0.1,0,39.57,424,2248,5.3
WT+IL-4,1,0,32.39,677,2045,3
WT+IL-4,10,0,20.81,815,1590,2
WT+IL-4,0.01,0,40.12,342,1915,5.6
WT+IL-4,0.1,0,31.355,422,2271,5.4
WT+IL-4,1,0.1,29.23,635,2035,3.2
WT+IL-4,10,0,20.27,807,1803,2.2
WT+IL-4,0.01,0.1,35.13,191,1254,6.6
WT+IL-4,0.1,0,35.32,337,1619,4.8
WT+IL-4,1,0,35.72,484,1602,3.3
WT+IL-4,10,0.1,18.44,788,1711,2.2
IL-4G4/G4 IFNg-/-,0.01,0.0861,11.6,363,962,2.7
IL-4G4/G4 IFNg-/-,0.1,0.0574,11.6,329,768,2.3
IL-4G4/G4 IFNg-/-,1,0.0637,4.11,421,470,1.1
IL-4G4/G4 IFNg-/-,10,0.0673,1.51,555,327,0.6
IL-4G4/G4 IFNg-/-,0.01,0.0794,12,356,874,2.5
IL-4G4/G4 IFNg-/-,0.1,0.0605,11.2,376,698,1.9
IL-4G4/G4 IFNg-/-,1,0.0426,3.76,420,447,1.1
IL-4G4/G4 IFNg-/-,10,0.1478,1.66,558,292,0.5
IL-4G4/G4 IFNg-/-,0.01,0.0648,11.7,309,737,2.4
IL-4G4/G4 IFNg-/-,0.1,0.05,10.2,335,519,1.5
IL-4G4/G4 IFNg-/-,1,0.0224,3.61,397,345,0.9
IL-4G4/G4 IFNg-/-,10,0.02748,1.35,476,267,0.6
IL-4G4/G4 IFNg-/- +IL-4,0.01,0.1,31,133,1399,10.5
IL-4G4/G4 IFNg-/- +IL-4,0.1,0.1,28.7,168,1885,11.2
IL-4G4/G4 IFNg-/- +IL-4,1,0.2,20.6,217,1704,7.9
IL-4G4/G4 IFNg-/- +IL-4,10,0.1,16.7,299,1594,5.3
IL-4G4/G4 IFNg-/- +IL-4,0.01,0.2,34.1,119,1507,12.7
IL-4G4/G4 IFNg-/- +IL-4,0.1,0.1,28.6,146,1750,12
IL-4G4/G4 IFNg-/- +IL-4,1,0.1,19.8,201,1483,7.4
IL-4G4/G4 IFNg-/- +IL-4,10,0.1,16.7,249,1464,5.9
IL-4G4/G4 IFNg-/- +IL-4,0.01,0.1,34.5,126,1289,10.2
IL-4G4/G4 IFNg-/- +IL-4,0.1,0.1,29.2,120,1385,11.5
IL-4G4/G4 IFNg-/- +IL-4,1,0.1,20,181,1178,6.5
IL-4G4/G4 IFNg-/- +IL-4,10,0.2,16.1,227,1248,5.5