concentraction,IFNG,IL-4,GATA3,Tbet,testType
10.00,9.79,0.08,322.11,1008.11,Train
10.00,10.61,0.23,346.01,1001.44,Train
10.00,11.95,0.08,397.71,1255.95,Train
10.00,13.04,0.07,345.83,1404.03,Train
10.00,13.97,0.09,361.03,1497.34,Train
10.00,12.62,0.23,338.97,1238.57,Train
0.01,1.15,31.94,2047.46,395.83,Train
0.01,0.71,31.73,1804.63,338.17,Train
0.01,0.36,32.79,1802.2,352.84,Train
0.01,0.65,35,1700.77,322.42,Train
0.01,0.78,34.76,1664.92,279.11,Train
0.01,1.67,33.65,1806.58,331.64,Train
0.10,2.03,23.27,1463.43,671.35,Test
0.10,1.92,27.12,1458.69,613.21,Test
0.10,1.92,29.08,1565.89,699.5,Test
0.10,1.52,10.06,1132.9,564.3,Test
0.10,2.54,9.08,1056.45,556.75,Test
0.10,3.34,7.23,1088.17,677.57,Test
1.00,3.7,0.24,502.99,979.36,Test
1.00,4.31,0.42,479.56,847.99,Test
1.00,4.49,0.35,496.06,953.19,Test
1.00,6.1,0.83,620.13,957.03,Test
1.00,6.24,0.86,580.21,799.28,Test
1.00,6.26,0.61,617.89,892.46,Test